,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,west wendover,40.7391,-114.0733,33.56,26,1,4.12,US,1627427481
331,adelaide,-34.9333,138.6,12.9,84,20,0.89,AU,1627427552
332,asmar,35.0333,71.3581,28.92,79,50,0.22,AF,1627427553
333,shingu,33.7333,135.9833,28.55,62,95,1.07,JP,1627427553
334,aswan,24.0934,32.907,31.94,24,99,6.67,EG,1627427553
335,provideniya,64.3833,-173.3,10.06,87,90,7.0,RU,1627427482
336,labuhan,-6.8844,112.2051,22.71,88,21,3.36,ID,1627427554
337,loubomo,-4.1997,12.6739,20.49,86,76,3.16,CG,1627427554
338,chirongui,-12.9319,45.1483,22.96,66,20,6.23,YT,1627427554
339,riosucio,5.4216,-75.7032,16.84,94,98,0.56,CO,1627427554
340,yugorsk,61.3133,63.3319,7.31,76,99,2.22,RU,1627427555
341,abilene,32.4487,-99.7331,40.27,29,1,1.34,US,1627427555
342,pattani,6.75,100.4167,24.84,97,62,0.91,TH,1627427555
343,yangambi,0.8102,24.4336,24.1,69,73,0.94,CD,1627427556
344,abay,49.6311,72.8539,6.21,58,1,2.21,KZ,1627427556
345,sawai madhopur,25.9833,76.3667,24.58,88,100,4.79,IN,1627427556
346,san andres,12.5847,-81.7006,27.8,80,94,5.71,CO,1627427557
347,klyuchi,52.2667,79.1667,14.37,60,49,2.35,RU,1627427557
348,owando,-0.4819,15.8999,24.98,46,85,1.63,CG,1627427557
349,mogadishu,2.0371,45.3438,24.69,81,90,9.39,SO,1627427515
350,cabedelo,-6.9811,-34.8339,24.37,84,6,4.67,BR,1627427313
351,aurdal,60.9242,9.4159,16.17,99,100,1.1,NO,1627427558
352,barmer,25.75,71.3833,26.52,82,100,8.52,IN,1627427558
353,marsa matruh,31.3525,27.2453,25.2,75,0,3.24,EG,1627427558
354,sanguem,15.2333,74.1667,24.25,93,100,2.96,IN,1627427558
355,monki,53.405,22.7979,18.15,88,22,2.54,PL,1627427559
356,riyadh,24.6877,46.7219,40.08,12,59,5.35,SA,1627427011
357,zarubino,42.63,131.0922,24.52,78,74,1.24,RU,1627427559
358,camacha,33.0833,-16.3333,21.41,68,75,6.69,PT,1627427559
